tyc,name,bayer,flamsteed,constellation
TYC 764-2771-1,,ε,2,CMi
TYC 764-2772-1,,γ,4,CMi
TYC 764-2774-1,Gomeisa,β,3,CMi
TYC 769-501-1,,,,CMi
TYC 772-1775-1,,,6,CMi
TYC 772-1776-1,,,1,CMi
TYC 782-542-1,,,11,CMi
TYC 789-1806-1,,,8,Cnc
TYC 790-1430-1,,,,Gem
TYC 793-1380-1,,,12,Cnc
TYC 794-1622-1,Tarf,β,17,Cnc
TYC 799-1738-1,,,21,Cnc
TYC 800-938-1,,,34,Cnc
TYC 801-886-1,,,37,Cnc
TYC 801-1428-1,,c,36,Cnc
TYC 804-1492-1,,,27,Cnc
TYC 808-1546-1,,,29,Cnc
TYC 813-1445-1,,A2,50,Cnc
TYC 813-1657-1,,,,Cnc
TYC 813-2941-1,,b,49,Cnc
TYC 814-2519-1,,,60,Cnc
TYC 814-3029-1,Acubens,α,65,Cnc
TYC 815-2146-1,,κ,76,Cnc
TYC 816-2496-1,,,,Cnc
TYC 816-2818-1,,A1,45,Cnc
TYC 820-1635-1,,ω,2,Leo
TYC 820-1636-1,,,3,Leo
TYC 821-2130-1,Subra,ο,14,Leo
TYC 821-2131-1,,h,6,Leo
TYC 824-1978-1,,ξ,5,Leo
TYC 825-1543-1,,,81,Cnc
TYC 825-1545-1,,π,82,Cnc
TYC 827-839-1,,,11,Leo
TYC 827-1691-1,,,7,Leo
TYC 829-1744-1,,π,29,Leo
TYC 830-1496-1,,A,31,Leo
TYC 831-343-1,,,18,Leo
TYC 831-841-1,,,19,Leo
TYC 832-1658-1,,ν,27,Leo
TYC 833-1381-1,Regulus,α,32,Leo
TYC 834-269-1,,,23,Leo
TYC 834-1466-1,,ψ,16,Leo
TYC 836-1522-1,,,34,Leo
TYC 838-273-1,,,45,Leo
TYC 838-1485-1,,ρ,47,Leo
TYC 838-1486-1,,,44,Leo
TYC 839-1566-1,,,49,Leo
TYC 843-1501-1,,,37,Leo
TYC 843-1502-1,,,42,Leo
TYC 844-1428-1,,,46,Leo
TYC 849-1444-1,,l,53,Leo
TYC 852-1409-1,,k,52,Leo
TYC 857-983-1,,ω,1,Vir
TYC 858-1221-1,,ι,78,Leo
TYC 861-1283-1,,n,73,Leo
TYC 862-1208-1,,,88,Leo
TYC 864-1209-1,,ξ,2,Vir
TYC 864-1210-1,,A1,4,Vir
TYC 865-1308-1,,A2,6,Vir
TYC 866-1180-1,,ο,9,Vir
TYC 869-1162-1,,,12,Vir
TYC 870-988-1,Denebola,β,94,Leo
TYC 875-998-1,,d2,32,Vir
TYC 877-959-1,,,20,Vir
TYC 878-1101-1,,,27,Vir
TYC 878-1102-1,,ρ,30,Vir
TYC 879-919-1,,,6,Com
TYC 882-1106-1,,,33,Vir
TYC 885-1204-1,,,41,Vir
TYC 885-1205-1,,,34,Vir
TYC 886-1326-1,Vindemiatrix,ε,47,Vir
TYC 887-364-1,,,,Vir
TYC 888-1121-1,,,29,Com
TYC 888-1122-1,,,28,Com
TYC 891-624-1,,e,59,Vir
TYC 892-430-1,,,,Vir
TYC 895-494-1,,,71,Vir
TYC 898-1042-1,,,70,Vir
TYC 900-517-1,,,,Boo
TYC 904-1278-1,,,,
TYC 905-1418-1,,,15,Boo
TYC 908-1283-1,,,14,Boo
TYC 911-1708-1,,,31,Boo
TYC 914-1741-1,,,32,Boo
TYC 915-1442-1,,,18,Boo
TYC 917-1471-1,,ζ,30,Boo
TYC 923-1176-1,,,,Boo
TYC 931-356-1,,,,Ser
TYC 933-1238-1,Nasak Yamani,δ,13,Ser
TYC 933-1240-1,,,16,Ser
TYC 935-33-1,,,7,Ser
TYC 937-1118-1,,χ,20,Ser
TYC 942-1184-1,,υ,31,Ser
TYC 943-1136-1,,,40,Ser
TYC 945-1376-1,,,,Ser
TYC 945-1487-1,,,47,Ser
TYC 949-891-1,,,46,Ser
TYC 949-1437-1,,,45,Ser
TYC 955-1148-1,,,39,Ser
TYC 955-1149-1,,φ,,Ser
TYC 958-1468-1,,,49,Ser
TYC 962-2225-1,,i,43,Her
TYC 963-470-1,,,,Her
TYC 968-1712-1,,h,29,Her
TYC 971-1433-1,Cujam,ω,24,Her
TYC 979-2198-1,,κ,27,Oph
TYC 979-2199-1,,ι,25,Oph
TYC 981-2008-1,,,37,Oph
TYC 982-2322-1,,e,,Oph
TYC 984-2436-1,,,60,Her
TYC 987-110-1,,,49,Her
TYC 987-1894-1,,,,Her
TYC 988-180-1,,,,Her
TYC 988-1951-1,,,32,Oph
TYC 990-2133-1,Rasalgethi,α1,64,Her
TYC 991-1161-1,,,,Oph
TYC 996-317-1,,f,53,Oph
TYC 1000-2508-1,Rasalhague,α,55,Oph
TYC 1004-1321-1,,,,Her
TYC 1005-2131-1,,,,Her
TYC 1008-1945-1,,,71,Oph
TYC 1011-7-1,,,,Oph
TYC 1012-1661-1,,,72,Oph
TYC 1024-2578-1,,,,Oph
TYC 1038-442-1,,,,Her
TYC 1044-844-1,,,,Aql
TYC 1044-1453-1,,,18,Aql
TYC 1050-593-1,,ω1,25,Aql
TYC 1050-597-1,,ω2,29,Aql
TYC 1050-675-1,,A,28,Aql
TYC 1051-1778-1,,,10,Aql
TYC 1051-2478-1,,,11,Aql
TYC 1052-3027-1,Okab,ζ,17,Aql
TYC 1057-2440-1,,υ,49,Aql
TYC 1058-252-1,,,,Aql
TYC 1058-3399-1,Altair,α,53,Aql
TYC 1058-3400-1,Libertas,ξ,59,Aql
TYC 1061-2577-1,Tarazed,γ,50,Aql
TYC 1062-2701-1,,ο,54,Aql
TYC 1062-2702-1,,,,Aql
TYC 1063-519-1,,b,31,Aql
TYC 1065-3060-1,,,46,Aql
TYC 1065-3144-1,,χ,47,Aql
TYC 1066-3553-2,,π,52,Aql
TYC 1066-3555-1,,,,
TYC 1069-3884-1,,,,Aql
TYC 1069-3885-1,,ψ,48,Aql
TYC 1079-3514-1,,φ,61,Aql
TYC 1090-3254-1,,,14,Del
TYC 1091-1875-1,,,1,Del
TYC 1092-1776-1,,κ,7,Del
TYC 1096-1682-1,,η,3,Del
TYC 1096-1683-1,,ι,5,Del
TYC 1096-1684-1,Aldulfin,ε,2,Del
TYC 1098-1201-1,,,16,Del
TYC 1098-1301-1,,,15,Del
TYC 1100-1719-1,,ζ,4,Del
TYC 1100-1720-1,Rotanev,β,6,Del
TYC 1100-1721-1,,θ,8,Del
TYC 1101-2785-1,,,10,Del
TYC 1102-2546-1,,,17,Del
TYC 1107-2709-1,Musica,,18,Del
TYC 1108-2583-1,,γ,5,Equ
TYC 1108-2584-1,,,6,Equ
TYC 1109-2583-1,,δ,7,Equ
TYC 1118-1680-1,,,,Peg
TYC 1120-161-1,,,,Peg
TYC 1125-2186-1,Enif,ε,8,Peg
TYC 1130-1972-1,,,17,Peg
TYC 1133-1258-1,,,,Peg
TYC 1135-877-1,,,19,Peg
TYC 1143-506-1,,,21,Peg
TYC 1143-1614-1,,,20,Peg
TYC 1146-1242-1,,,31,Peg
TYC 1151-735-1,,,36,Peg
TYC 1153-1558-1,,σ,49,Peg
TYC 1153-1559-1,,ρ,50,Peg
TYC 1155-2186-1,Suudalnujum,ξ,46,Peg
TYC 1155-2187-1,Homam,ζ,42,Peg
TYC 1160-1745-1,,,55,Peg
TYC 1161-1161-1,,,,Peg
TYC 1161-1794-1,,,58,Peg
TYC 1161-1795-1,,,59,Peg
TYC 1163-2022-1,,,52,Peg
TYC 1165-1549-1,,,66,Peg
TYC 1168-1611-1,,,70,Peg
TYC 1171-1694-1,,,80,Peg
TYC 1173-1740-1,,,77,Peg
TYC 1174-1713-1,,,82,Peg
TYC 1179-827-1,,,40,Psc
TYC 1179-1775-1,Algenib,γ,88,Peg
TYC 1180-1762-1,,,48,Psc
TYC 1181-1782-1,,,87,Peg
TYC 1183-1804-1,,,46,Psc
TYC 1183-1805-1,,,47,Psc
TYC 1185-810-1,,,,Psc
TYC 1185-2319-1,,χ,89,Peg
TYC 1187-1876-1,,,53,Psc
TYC 1188-1686-1,,,64,Psc
TYC 1188-1687-1,,,57,Psc
TYC 1191-1928-1,,,59,Psc
TYC 1192-1830-1,,,66,Psc
TYC 1193-2067-1,,,55,Psc
TYC 1193-2069-1,,,52,Psc
TYC 1193-2072-1,,,54,Psc
TYC 1194-176-1,,,61,Psc
TYC 1196-1650-1,,,87,Psc
TYC 1198-1597-1,Alpherg,η,99,Psc
TYC 1199-1947-1,,ψ3,81,Psc
TYC 1201-1724-1,,,94,Psc
TYC 1201-1725-1,,ρ,93,Psc
TYC 1201-1727-1,,,97,Psc
TYC 1202-2124-1,,ψ1,74,Psc
TYC 1202-2125-1,,ψ1,74,Psc
TYC 1202-2126-1,,χ,84,Psc
